"label","LonX","LatY"
"P4",-73.94059331,40.75052443
"P4",-73.93538673,40.76135459
"P4",-73.94401942,40.75480988
"P5",-73.94214147,40.83780285
"P5",-73.92156517,40.82854339
"P5",-73.92251613,40.83163278
"P5",-73.92251613,40.83163278
"P5",-73.93726258,40.82916466
"P5",-73.94036011,40.83378667
"P5",-73.93147172,40.84992124
"P5",-73.92319544,40.84078815
"P5",-73.94429621,40.83707743
"P5",-73.93010885,40.83164092
"P5",-73.93638317,40.83785012
"P5",-73.93517146,40.84735795
"P5",-73.9231366,40.86341558
"P5",-73.92241311,40.83005254
"P5",-73.92098735,40.84406432
"P5",-73.93233709,40.84873502
"P5",-73.92810747,40.83099653
"P5",-73.92516675,40.83630572
"P5",-73.93010885,40.83164092
"P5",-73.92810747,40.83099653
"P5",-73.93035513,40.83450471
"P5",-73.92499193,40.84651758
"P5",-73.92179966,40.84041415
"P6",-73.94249893,40.83224043
"P6",-73.94214147,40.83780285
"P6",-73.94438083,40.82965101
"P6",-73.93726258,40.82916466
"P6",-73.94066429,40.83473137
"P6",-73.94529268,40.82840058
"P6",-73.93726258,40.82916466
"P6",-73.94536462,40.83427124
"P6",-73.94036011,40.83378667
"P6",-73.94351366,40.83593313
"P6",-73.94285625,40.84045169
"P6",-73.93798195,40.84350076
"P6",-73.93612529,40.84355064
"P6",-73.93726258,40.82916466
"P6",-73.93758877,40.83266294
"P6",-73.94066429,40.83473137
"P6",-73.93639683,40.84954119
"P6",-73.93639683,40.84954119
"P6",-73.93726258,40.82916466
"P6",-73.93726258,40.82916466
"P6",-73.94779618,40.83445161
"P6",-73.94779618,40.83445161
"P6",-73.93834307,40.83790887
"P6",-73.94227897,40.84215434
"P6",-73.93517146,40.84735795
"P6",-73.93726258,40.82916466
"P6",-73.93758877,40.83266294
"P6",-73.94429621,40.83707743
"P6",-73.94429621,40.83707743
"P6",-73.94374124,40.8384775
"P6",-73.93517146,40.84735795
"P6",-73.9476843,40.83022287
"P6",-73.9434719,40.83089139
"P6",-73.93726258,40.82916466
"P6",-73.93726258,40.82916466
"P6",-73.93726258,40.82916466
"P6",-73.94249893,40.83224043
"P6",-73.94036011,40.83378667
"P6",-73.92516675,40.83630572
"P6",-73.9476843,40.83022287
"P6",-73.94536462,40.83427124
"P6",-73.92853695,40.83441773
"P6",-73.92516675,40.83630572
"P6",-73.93726258,40.82916466
"P6",-73.94351366,40.83593313
"P6",-73.93988786,40.83579394
"P6",-73.93726258,40.82916466
"P6",-73.93726258,40.82916466
"P6",-73.93758877,40.83266294
"P6",-73.92853695,40.83441773
"P6",-73.93738281,40.83569073
"P6",-73.94163351,40.84343666
"P6",-73.93828417,40.85090855
"P7",-73.94249893,40.83224043
"P7",-73.94214147,40.83780285
"P7",-73.94680584,40.83729647
"P7",-73.93639683,40.84954119
"P7",-73.93010885,40.83164092
"P7",-73.93823619,40.82787734
"P7",-73.94779618,40.83445161
"P7",-73.94351366,40.83593313
